,date,account_value
339,2022-05-31,2036532.5929999975
340,2022-06-01,2048231.4929999977
341,2022-06-02,2053702.1929999976
342,2022-06-05,2065072.8929999974
343,2022-06-06,2053115.0929999978
344,2022-06-07,2046462.2929999977
345,2022-06-08,2051543.2929999977
346,2022-06-09,2054283.3929999978
347,2022-06-12,2041929.0929999975
348,2022-06-13,2034042.492999998
349,2022-06-14,2022981.3929999976
350,2022-06-15,2023743.6929999974
351,2022-06-16,2051569.6929999976
352,2022-06-19,2054606.9929999977
353,2022-06-20,2040440.5929999975
354,2022-06-21,2030728.6929999976
355,2022-06-22,2032181.7929999977
356,2022-06-23,2041697.0929999975
357,2022-06-26,2045881.5929999975
358,2022-06-27,2048655.3929999978
359,2022-06-28,2041346.1929999976
360,2022-06-29,2050042.1929999976
361,2022-06-30,2056277.0929999978
362,2022-07-03,2046393.8929999976
363,2022-07-04,2044549.4929999975
364,2022-07-05,2041262.9929999975
365,2022-07-06,2039526.0929999975
366,2022-07-07,2040661.1929999974
367,2022-07-12,2031777.1929999976
368,2022-07-13,2031775.4929999977
369,2022-07-14,2038518.7929999975
370,2022-07-17,2037942.1929999974
371,2022-07-18,2010622.3929999978
372,2022-07-19,1999825.0929999975
373,2022-07-20,1999027.6929999976
374,2022-07-21,1995953.2929999975
375,2022-07-24,1974448.0929999975
376,2022-07-25,1979034.3929999976
377,2022-07-26,1991414.7929999975
378,2022-07-27,1978480.7929999973
379,2022-07-28,1962653.0929999978
380,2022-07-31,1991596.8929999978
381,2022-08-01,1995798.0929999975
382,2022-08-02,2018747.7929999975
383,2022-08-03,2040859.7929999977
384,2022-08-04,2045194.3929999976
385,2022-08-07,2045679.9929999975
386,2022-08-08,2035562.0929999975
387,2022-08-10,2016019.0929999975
388,2022-08-11,2007543.6929999974
389,2022-08-14,2010067.7929999977
390,2022-08-16,2027999.4929999977
391,2022-08-17,2032096.7929999975
392,2022-08-21,2031567.2929999977
393,2022-08-22,2041363.6929999976
394,2022-08-23,2049562.5929999978
395,2022-08-24,2049318.2929999977
396,2022-08-25,2066914.9929999977
397,2022-08-28,2067064.6929999976
398,2022-08-29,2082624.0929999973
399,2022-08-30,2105186.7929999977
400,2022-08-31,2097933.0929999975
401,2022-09-01,2135367.392999998
402,2022-09-04,2127511.092999998
403,2022-09-05,2105386.892999998
404,2022-09-06,2113439.692999998
405,2022-09-07,2142213.8929999983
406,2022-09-08,2137050.392999998
407,2022-09-11,2137358.7929999977
408,2022-09-12,2140171.9929999975
409,2022-09-13,2141379.9929999975
410,2022-09-14,2120296.4929999975
411,2022-09-15,2116447.892999998
412,2022-09-18,2104800.492999998
413,2022-09-19,2110430.992999998
414,2022-09-20,2105633.2929999977
415,2022-09-21,2092755.3929999978
416,2022-09-22,2093436.5929999975
417,2022-09-25,2089333.0929999975
418,2022-09-26,2087913.7929999975
419,2022-09-27,2076256.4929999975
420,2022-09-28,2071819.7929999973
421,2022-09-29,2075760.2929999977
422,2022-10-02,2078189.0929999978
423,2022-10-03,2068776.6929999976
424,2022-10-04,2084620.3929999976
425,2022-10-06,2091188.2929999973
426,2022-10-10,2067133.1929999976
427,2022-10-11,2078165.5929999975
428,2022-10-12,2098057.3929999983
429,2022-10-13,2103668.8929999983
430,2022-10-16,2117513.992999998
431,2022-10-17,2086526.4929999975
432,2022-10-18,2115571.1929999976
433,2022-10-19,2106795.7929999977
434,2022-10-20,2086691.4929999975
435,2022-10-23,2077161.1929999974
436,2022-10-24,2049363.0929999975
437,2022-10-25,2059202.5929999978
438,2022-10-26,2055156.7929999977
439,2022-10-27,2039321.9929999977
440,2022-10-30,2024193.0929999975
441,2022-10-31,2009626.5929999975
442,2022-11-01,2031005.7929999975
443,2022-11-02,2047343.1929999974
444,2022-11-03,2050043.4929999977
445,2022-11-06,2053306.2929999975
446,2022-11-07,2048743.8929999976
447,2022-11-08,2060842.8929999978
448,2022-11-09,2061730.5929999975
449,2022-11-10,2061277.4929999975
450,2022-11-13,2054264.3929999974
451,2022-11-14,2032069.6929999974
452,2022-11-15,2028024.1929999974
453,2022-11-16,2041390.0929999973
454,2022-11-17,2043704.5929999975
455,2022-11-20,2023630.3929999976
456,2022-11-21,2020701.9929999975
457,2022-11-22,2035883.1929999976
458,2022-11-23,2035906.8929999974
459,2022-11-24,2049952.9929999972
460,2022-11-27,2073300.8929999974
461,2022-11-28,2068777.7929999973
462,2022-11-29,2070984.0929999975
463,2022-11-30,2079174.2929999973
464,2022-12-01,2091919.4929999977
465,2022-12-04,2089898.9929999977
466,2022-12-05,2082762.5929999973
467,2022-12-06,2090261.3929999976
468,2022-12-07,2089107.9929999977
469,2022-12-08,2085042.1929999976
470,2022-12-11,2089164.7929999975
471,2022-12-12,2088924.5929999975
472,2022-12-13,2082682.4929999977
473,2022-12-14,2087029.6929999976
474,2022-12-15,2100371.092999998
475,2022-12-18,2117634.592999998
476,2022-12-19,2114942.092999998
477,2022-12-20,2101324.892999998
478,2022-12-21,2070607.3929999976
479,2022-12-22,2076687.9929999977
480,2022-12-26,2073993.7929999975
481,2022-12-27,2071857.1929999976
482,2022-12-28,2073768.8929999976
483,2022-12-29,2076236.9929999975
