date,a2c,ddpg,td3,ppo,sac,mvo
2022-01-24,2215497.392999998,2522029.6059,2774513.92825,2859290.7186500006,2376943.01935,2384426.75614742
2022-01-25,2210482.2929999977,2511042.6058999994,2773706.72825,2883430.115,2373905.41935,2377659.416800405
2022-01-26,2184770.292999998,2465723.7058999995,2729608.72825,2837668.9007000006,2346335.11935,2336151.187095091
2022-01-27,2183033.592999998,2447640.2058999995,2701829.72825,2807921.700700001,2325773.51935,2311571.223031332
2022-01-30,2182700.392999998,2472297.4058999997,2709307.82825,2810032.1007000008,2329295.41935,2323319.7198306927
2022-01-31,2175039.492999998,2459003.2058999995,2690801.62825,2801900.1007000008,2326761.2193500004,2311607.008374032
2022-02-01,2195618.6929999976,2436902.0058999998,2683700.52825,2810745.1007000003,2323955.71935,2295224.832542812
2022-02-02,2201793.192999998,2434895.1059000003,2689897.6282499996,2806745.300700001,2339172.7193499994,2295447.810787619
2022-02-03,2199967.5929999975,2434312.2058999995,2683314.52825,2807836.7007000004,2329455.71935,2291859.21864992
2022-02-06,2211529.5929999975,2445809.2058999995,2685154.32825,2809453.300700001,2331828.21935,2302300.3895588974
2022-02-07,2207501.092999998,2434285.3059,2680428.2282499997,2809614.300700001,2319471.5193499993,2289221.6705398476
2022-02-08,2213212.7929999977,2435889.1059,2675412.82825,2804913.1007000003,2323347.71935,2285707.9173621414
2022-02-09,2217802.492999998,2455825.8058999996,2705696.62825,2831454.200700001,2335669.6193500003,2308696.955594717
2022-02-10,2217476.392999998,2463866.9059,2701237.72825,2820868.8007,2329578.01935,2309260.5940181445
2022-02-13,2225730.7929999977,2488924.2059,2739003.6282499996,2848272.9007000006,2339939.8193500005,2341522.1574509046
2022-02-14,2220885.392999998,2480519.2059,2733353.52825,2848414.1007000008,2338934.6966500003,2332367.893703673
2022-02-15,2232720.192999998,2472639.1058999994,2713973.42825,2831663.7007000013,2334301.1294000004,2324790.212303693
2022-02-16,2242596.6929999976,2476398.1059,2719703.32825,2836061.0007000007,2335725.1293999995,2330867.021624117
2022-02-17,2237344.7929999977,2455929.8059,2706528.32825,2835392.700700001,2330070.6294,2318772.451503669
2022-02-20,2222253.592999998,2457495.0058999998,2728746.92825,2849731.2007000004,2320347.0628500003,2326192.2755592456
2022-02-22,2218214.0929999975,2434495.3058999996,2706699.22825,2835015.5007000007,2311442.5465,2305865.9160032184
2022-02-23,2227812.6929999976,2428652.9058999997,2712078.4282500003,2858351.1007000003,2323394.4465,2309863.3093099957
2022-02-24,2197898.392999998,2400370.4058999997,2676994.42825,2818347.3007000005,2303626.0464999992,2287274.830754931
2022-02-27,2157043.492999998,2360929.9058999997,2629810.82825,2773858.2710500006,2285072.3465,2249201.081889036
2022-02-28,2174435.692999998,2380227.7059,2653394.02825,2803836.0511000007,2305236.5926,2265983.9520146884
2022-03-01,2173197.292999998,2350954.8058999996,2621663.52825,2773576.951100001,2284126.2242,2240015.256422172
2022-03-02,2166198.392999998,2334114.1059,2603904.72825,2768984.6511000013,2281113.5704,2224378.2417428764
2022-03-03,2160290.592999998,2351030.6059,2622825.82825,2769767.151100001,2279843.1347000003,2241080.957528621
2022-03-06,2147042.492999998,2314162.1059,2599704.32825,2760441.8511000006,2262552.550649999,2208376.2885528654
2022-03-07,2081693.0929999975,2269662.7058999995,2529358.72825,2668355.251100001,2204256.6763999998,2153096.9531429647
2022-03-08,2070187.3929999976,2245496.6059,2505137.02825,2624599.4511,2161412.61985,2124763.380764506
2022-03-09,2103981.7929999977,2304807.0058999998,2537624.8282500003,2655561.151100001,2219371.5774000003,2166093.6344417767
2022-03-10,2101519.3929999983,2284418.8059,2513800.72825,2635565.4511000006,2206303.7466,2153002.1653927565
2022-03-13,2110256.392999998,2283134.7059,2488844.42825,2602307.0511000003,2206763.7214499996,2147100.230489166
2022-03-14,2115363.992999998,2304812.5058999998,2513884.82825,2618139.7511000005,2208889.8589500003,2168080.0689695096
2022-03-15,2118871.592999998,2307408.0058999993,2529569.22825,2648515.251100001,2225059.9458500003,2175593.5914802765
2022-03-16,2128646.5929999975,2308221.4058999997,2532554.4282500003,2659819.2511,2228949.7837,2177893.625853993
2022-03-20,2110369.4929999975,2297758.0058999998,2499835.12825,2613699.1511,2209602.0900999997,2161900.2880408745
