,a2c,ddpg,td3,ppo,sac,mvo
2021-12-23,3207597.8663018974,2391638.269761139,2436870.478342575,2270653.0090135066,2533083.9978844244,2389078.231609552
2021-12-24,3246946.239570025,2383400.2885294496,2442890.8487344207,2261709.051351424,2537800.8193565924,2390703.636779149
2021-12-27,3316321.514670733,2392245.3176737367,2459387.2926736297,2267170.7424750202,2552180.4987541754,2405260.9924724256
2021-12-28,3361670.2177118096,2411146.6522684633,2476857.3664193572,2292901.7998997485,2565457.4611260016,2429316.8636418297
2021-12-29,3342693.3351892265,2415263.2246561586,2480078.7499947967,2304793.9772554077,2560755.2749992926,2441493.5930294874
2021-12-30,3357372.391295794,2416299.4481974184,2484109.3316140594,2299323.1407820727,2577543.9187218267,2463053.7102532317
2021-12-31,3379674.4614099297,2450615.8379374086,2505955.75222258,2320055.031896021,2581946.3416954596,2496888.284172806
2022-01-03,3383404.2308954033,2469910.5095377504,2531171.855661911,2342873.865943995,2626551.749059351,2511371.8882581093
2022-01-04,3411800.9856790337,2500615.6684732973,2554782.0979409637,2360476.9102679733,2664833.778859766,2537211.2634916115
2022-01-05,3357000.332236651,2511461.616105133,2549222.7182412567,2370954.8987195385,2646551.7763725836,2533889.202924373
2022-01-06,3305961.581641558,2509440.3286905824,2530732.6272683563,2354046.444472163,2608812.269826563,2510100.502317724
2022-01-07,3315532.3190072807,2513943.696427399,2545225.839090866,2358171.824190745,2633510.8664452154,2519022.095905561
2022-01-10,3360306.1050485405,2555925.0385904848,2565267.098139328,2377826.1458830554,2648440.655538233,2536376.6372026005
2022-01-11,3387788.7169793877,2560613.794205719,2578068.7674355926,2393938.03854135,2667566.4224449713,2558358.754012272
2022-01-12,3383333.159652117,2569153.7505961,2576409.58777861,2409994.6273391177,2652131.99365774,2545979.4305390483
2022-01-13,3383968.872130755,2565098.554703766,2587681.779764694,2423493.7937675845,2667360.4433342535,2551349.6377946264
2022-01-14,3400246.5777276787,2558068.2952738344,2593223.898340744,2426894.6257943255,2701913.90733877,2550350.683670382
2022-01-17,3390863.0920709404,2581040.9438334047,2611392.0865884246,2434922.099800429,2731668.6505791266,2538975.614487401
2022-01-18,3310436.072509173,2529368.536057526,2566710.44513945,2396068.5241185594,2708333.1094261725,2515456.1887650928
