,a2c,ddpg,td3,ppo,sac,mvo
2022-10-14,2092716.8315899966,2350477.069030001,2014489.7814800001,1656092.7424550029,2738893.757725001,2722177.036561146
2022-10-17,2157915.2715899968,2422277.6590300007,2076868.9814800003,1704426.810295003,2824388.7577250013,2809697.322522548
2022-10-18,2206276.5615899963,2453770.919030001,2102913.1014799997,1722491.481690003,2841422.077725001,2834392.6415769095
2022-10-19,2183320.2115899967,2416264.2590300003,2068109.0614800004,1709038.6260750028,2770217.837725001,2814060.006085476
2022-10-20,2162873.9215899967,2391304.209030001,2053815.8214800004,1695881.597800003,2737304.767725001,2814146.561389589
2022-10-21,2247533.081589997,2448877.9590300005,2110828.94148,1748871.8044500025,2807771.6577250017,2890149.838320437
2022-10-24,2272350.9515899965,2492875.8290300006,2131785.74148,1772019.3195400028,2860343.117725001,2916455.226933548
2022-10-25,2286929.1915899967,2542045.919030001,2168249.58148,1785261.2298750028,2905110.347725001,2964031.4881129516
2022-10-26,2310220.3815899966,2504891.7090300005,2139321.9814799996,1767286.3728900028,2822575.1077250014,2904002.2054496
2022-10-27,2296413.6415899964,2480620.089030001,2132668.98148,1735676.9603600027,2803734.347725001,2855603.008901241
2022-10-28,2324542.911589997,2568762.8490300006,2177411.7414800003,1778796.3803600029,2890443.667725001,2919238.2556904634
2022-10-31,2303796.8715899964,2539099.1990300007,2157120.6614800002,1763763.0917400033,2865618.837725001,2880546.0438754647
2022-11-01,2294398.2215899965,2523221.129030001,2147266.54148,1737031.923275003,2848004.997725001,2832075.2374839503
2022-11-02,2255616.141589997,2457779.4290300007,2113437.78148,1692644.0676350028,2786458.6077250014,2762168.9953508917
2022-11-03,2244274.541589997,2407739.3990300004,2098494.58148,1672147.1212200029,2745026.5477250014,2737454.9772803793
2022-11-04,2304695.471589997,2468663.1990300007,2142920.8214800004,1698210.0864300027,2812540.957725001,2772404.3856993685
2022-11-07,2352940.5215899968,2503532.0590300006,2167960.86148,1710068.7246300026,2864951.3977250014,2793102.080780228
2022-11-08,2375003.9715899974,2531496.6390300007,2189432.90148,1712422.044325003,2886292.737725001,2809120.2969297115
2022-11-09,2336508.2215899965,2479838.4490300007,2142154.1414799998,1669616.883745003,2833247.2377250013,2724842.625533836
2022-11-10,2477395.4515899965,2664671.5090300003,2267776.42148,1786557.3942900025,3031230.1877250015,2939545.5609184625
2022-11-11,2537565.8715899964,2724025.0790300006,2292998.30148,1825063.6704150026,3084786.427725001,3001110.1244449113
2022-11-12,2536973.571589997,2723466.109030001,2292621.26148,1824971.2607650028,3084551.0677250014,3000869.219779863
2022-11-14,2493682.5215899963,2664895.4990300005,2269223.3014800004,1801979.5511650026,3027262.4877250013,2989144.8175151004
2022-11-15,2521102.3215899966,2675088.8890300007,2284564.26148,1812351.012125003,3046076.3077250016,3026946.858550936
2022-11-16,2465947.831589997,2640917.959030001,2256348.26148,1778233.2282150032,3016014.6077250014,2975902.2615431994
2022-11-17,2457762.331589997,2621046.929030001,2251731.30148,1768061.7128150025,3010352.717725001,2983092.673883495
2022-11-18,2458650.7415899965,2626592.5990300006,2267286.62148,1768551.581950003,3018229.927725001,2986405.0486158775
2022-11-19,2458414.5915899966,2625946.089030001,2266395.90148,1767702.4777700028,3016884.5177250006,2985339.7495775935
2022-11-21,2459899.1715899967,2623479.779030001,2257319.02148,1751839.9562250029,3022297.7177250013,2952621.8146347273
2022-11-22,2501153.9915899965,2657287.1990300007,2283088.42148,1776278.4950150028,3061260.1777250012,2995218.298118025
2022-11-23,2516812.3915899973,2666453.1290300004,2295217.3814800004,1779402.0683050032,3078190.7677250016,3016449.8716927315
2022-11-25,2521680.331589997,2664793.0790300006,2296779.1414799998,1772578.8930450026,3081620.7177250017,2994780.658071378
2022-11-28,2458414.2615899965,2591326.729030001,2248140.90148,1745517.9547200028,3015377.9377250015,2944058.4042176614
2022-11-29,2458774.4615899967,2599210.019030001,2260421.8214800004,1747489.2444300028,3018630.0377250016,2927229.1936928486
2022-11-30,2500704.6415899964,2686454.5390300006,2313929.94148,1799082.800885003,3119742.937725001,3030385.187958111
2022-12-01,2487672.6715899967,2685184.869030001,2297937.8614800004,1793406.9525600027,3126101.1877250015,3022326.1849588947
2022-12-02,2503888.211589997,2683335.8090300006,2296070.9814799996,1783343.8446850027,3114592.8077250016,3001863.0099785877
2022-12-03,2504292.7715899968,2683376.5990300006,2296033.62148,1783417.9273550028,3114461.227725001,3002094.2278424283
2022-12-05,2430725.4115899964,2623191.3490300006,2251203.2214800003,1743300.1500150028,3040079.2377250013,2959033.1266424446
2022-12-06,2423647.361589997,2579870.9190300005,2211509.18148,1718743.962190003,2991470.5277250013,2882914.7704254314
2022-12-07,2425489.4215899967,2590952.2690300005,2209739.0614799997,1721041.2748400029,2987543.317725001,2878202.636902338
2022-12-08,2411575.511589997,2594153.8690300006,2217054.18148,1733056.619220003,3001032.4877250013,2902128.305971931
2022-12-09,2364231.8515899964,2577997.2190300003,2203911.1414799998,1726183.4941500032,2982987.457725001,2873458.709432667
2022-12-10,2364070.061589997,2578069.399030001,2204162.14148,1725925.289860003,2983018.0277250013,2873361.4267778387
2022-12-12,2407747.0315899965,2624925.169030001,2248053.94148,1751279.2863500027,3045586.767725001,2928651.712214874
2022-12-13,2411967.5015899967,2646413.7390300008,2257371.1414799998,1762250.859260003,3075916.1077250014,2957056.8594477023
2022-12-14,2362043.5315899965,2606759.999030001,2227423.82148,1739590.8389600026,3043163.7077250015,2918034.872410075
2022-12-15,2288221.7315899963,2524824.459030001,2176156.6614800002,1692403.0242400023,2969804.3277250007,2829450.38101386
2022-12-16,2262920.5015899967,2486637.959030001,2157925.10148,1681828.7438900028,2936870.0177250016,2800698.1295235706
2022-12-17,2263115.4415899967,2486777.9390300005,2157827.8614800004,1682410.3681450028,2937360.6677250015,2801335.4922505845
2022-12-19,2255221.2015899965,2468642.2190300003,2149225.50148,1660203.1429350025,2911265.627725001,2769027.3830899447
2022-12-20,2297257.611589996,2476417.919030001,2161895.7014800003,1663613.545145003,2930650.997725001,2776958.6410092246
2022-12-21,2361667.6615899964,2523881.6890300005,2207375.50148,1691782.3998250025,2981885.797725001,2843701.6220433535
2022-12-22,2322380.2215899965,2485717.939030001,2167133.50148,1657700.6873500026,2934577.4277250012,2766545.1865663747
2022-12-23,2332782.9715899965,2490108.8990300004,2179114.34148,1666379.9556850027,2948945.9577250015,2778929.538630292
2022-12-24,2332565.2815899965,2489932.819030001,2178900.34148,1666140.6025900028,2948501.327725001,2778802.770760035
2022-12-27,2343074.0215899968,2484403.6590300007,2174191.54148,1656062.0295100033,2943098.5277250013,2748770.277841742
2022-12-28,2315305.5515899966,2446944.1790300007,2156499.1414799998,1632722.7037050026,2912038.297725002,2711130.429407278
2022-12-29,2367140.1915899967,2503789.769030001,2190047.58148,1666089.332880003,2975621.0277250013,2767418.7808412565
2022-12-30,2358996.6715899967,2495824.7890300006,2192410.42148,1664849.7883150028,2960117.827725001,2766318.7040675012
2022-12-31,2359648.3915899964,2496144.4490300003,2192752.50148,1664560.6277400027,2960098.6377250007,2766040.0277190064
2023-01-03,2387461.6115899966,2494771.2890300006,2207424.94148,1671916.7771000029,2963764.4977250015,2761856.840065343
2023-01-04,2158205.5607199967,2478023.019030001,2226860.18148,1698152.6582500027,2927761.3977250014,2794667.3153927336
2023-01-05,2153628.7607199964,2434158.629030001,2203518.86148,1677121.431995003,2879766.9377250015,2749973.8369162995
2023-01-06,2195367.150719997,2495463.029030001,2260070.30148,1726766.8495750024,2938188.057725001,2825304.634837458
2023-01-07,2195696.9707199964,2495729.529030001,2260344.94148,1727106.2361800028,2937810.7877250006,2825911.389220424
2023-01-09,2219779.1107199965,2509616.369030001,2255505.86148,1734521.3554650026,2939968.897725001,2840629.4021031377
2023-01-10,2276435.230719996,2534281.859030001,2269106.54148,1746227.0519100025,2956538.637725001,2862616.553483993
2023-01-11,2342788.8507199967,2579483.7490300005,2299520.02148,1777757.0694000027,3004134.4477250013,2915057.9871766036
2023-01-12,2366565.460719996,2593078.5890300004,2323343.90148,1786134.492215003,3025163.037725001,2937460.830759921
