,date,account_value
395,2020-07-28,2046986.1255349966
396,2020-07-29,2037403.2757199965
397,2020-07-30,1991321.2523499962
398,2020-07-31,2000747.5717699965
399,2020-08-03,1992306.4430549964
400,2020-08-04,1996368.8378049964
401,2020-08-05,2047539.8535849964
402,2020-08-06,2041300.0386149965
403,2020-08-07,2050334.5621299967
404,2020-08-10,2079267.0273199964
405,2020-08-11,2082564.8898999968
406,2020-08-12,2089237.7866599965
407,2020-08-13,2070786.4665649966
408,2020-08-14,2074969.082664997
409,2020-08-17,2058275.5034399966
410,2020-08-18,2070898.5682949962
411,2020-08-19,2054448.0508049962
412,2020-08-20,2043244.2508049968
413,2020-08-21,2036303.5608049964
414,2020-08-24,2092927.8508049962
415,2020-08-25,2093773.5408049964
416,2020-08-26,2098495.3539049965
417,2020-08-27,2104005.4586099964
418,2020-08-28,2120823.460259997
419,2020-08-31,2090712.381609996
420,2020-09-01,2086502.1332349966
421,2020-09-02,2132370.2069549966
422,2020-09-03,2066073.8310549962
423,2020-09-04,2059233.0433649966
424,2020-09-08,1980852.473364997
425,2020-09-09,2008192.903364997
426,2020-09-10,1955724.903364997
427,2020-09-11,1946731.6033649966
428,2020-09-14,1979754.1833649965
429,2020-09-15,1974493.2333649963
430,2020-09-16,2049951.213364996
431,2020-09-17,2066258.0198049967
432,2020-09-18,2036013.4667849964
433,2020-09-21,1954466.5404899963
434,2020-09-22,1968007.3869999964
435,2020-09-23,1913744.5437899965
436,2020-09-24,1915125.1637899966
437,2020-09-25,1944892.0437899965
438,2020-09-28,1985378.6595249965
439,2020-09-29,1964024.4892299967
440,2020-09-30,1985233.331009997
441,2020-10-01,1997131.5383749967
442,2020-10-02,2007011.3343699963
443,2020-10-05,2044055.4016349968
444,2020-10-06,1996003.7502449963
445,2020-10-07,2045556.4923949966
446,2020-10-08,2101482.134399996
447,2020-10-09,2145075.2593999966
448,2020-10-12,2175732.2508349963
449,2020-10-13,2156659.5459349966
450,2020-10-14,2152717.084004997
451,2020-10-15,2160900.066574997
452,2020-10-16,2184479.7627749965
453,2020-10-19,2182429.1103949966
454,2020-10-20,2202016.5255449964
455,2020-10-21,2190581.5836899965
456,2020-10-22,2248299.8122749967
457,2020-10-23,2248435.3403949966
458,2020-10-26,2200487.645804996
459,2020-10-27,2164523.8229049966
460,2020-10-28,2162589.8140799967
461,2020-10-29,2150890.3855499965
462,2020-10-30,2115852.7045149966
463,2020-11-02,2137658.5207699966
464,2020-11-03,2203658.6995199965
465,2020-11-04,2235339.8391699963
466,2020-11-05,2282723.2088699965
467,2020-11-06,2280108.1423549964
468,2020-11-09,2366974.503919997
469,2020-11-10,2380829.0439199964
470,2020-11-11,2394752.703919996
471,2020-11-12,2354844.223919996
472,2020-11-13,2435061.8965849965
473,2020-11-16,2494090.147449997
474,2020-11-17,2502622.0443199966
475,2020-11-18,2500317.5399299967
476,2020-11-19,2495792.3225299963
477,2020-11-20,2495793.5390999964
478,2020-11-23,2551000.1837099968
479,2020-11-24,2630225.9060299965
480,2020-11-25,2649462.1948249964
481,2020-11-27,2638235.8069299967
482,2020-11-30,2605017.0960099963
483,2020-12-01,2611087.4051899966
484,2020-12-02,2650452.829669997
485,2020-12-03,2678917.6796699967
486,2020-12-04,2721838.939669996
487,2020-12-07,2711456.549669997
488,2020-12-08,2732306.3896699967
489,2020-12-09,2770341.6296699964
490,2020-12-10,2756306.4396699965
491,2020-12-11,2743260.159669997
492,2020-12-14,2692883.6225199965
493,2020-12-15,2739643.1701599965
494,2020-12-16,2733145.1663049962
495,2020-12-17,2730444.3008149965
496,2020-12-18,2707243.8628749964
497,2020-12-21,2698501.451554997
498,2020-12-22,2672588.5836249962
499,2020-12-23,2708341.0493699964
500,2020-12-24,2672911.0790499966
501,2020-12-28,2696786.494614997
502,2020-12-29,2691637.1401849966
503,2020-12-30,2712813.0801849966
504,2020-12-31,2727003.2501849965
505,2021-01-04,2661202.6900349967
506,2021-01-05,2709548.0679449965
507,2021-01-06,2797284.198909996
508,2021-01-07,2806834.7589099966
509,2021-01-08,2814455.248909997
510,2021-01-11,2822932.1589099965
511,2021-01-12,2878928.1589099965
512,2021-01-13,2850206.968909996
513,2021-01-14,2865646.5889099967
514,2021-01-15,2801807.0589099964
515,2021-01-19,2828917.368909996
516,2021-01-20,2847423.208909997
517,2021-01-21,2802579.8389099967
518,2021-01-22,2798444.8789099962
519,2021-01-25,2784545.8089099964
520,2021-01-26,2829700.078909997
521,2021-01-27,2807444.4089099965
522,2021-01-28,2794785.658909997
523,2021-01-29,2710339.4489099965
524,2021-02-01,2743457.2289099963
525,2021-02-02,2828116.518909997
526,2021-02-03,2817849.0189099964
527,2021-02-04,2871150.7989099966
528,2021-02-05,2867240.4289099965
529,2021-02-08,2906236.0389099964
530,2021-02-09,2896601.088909996
531,2021-02-10,2875786.1189099965
532,2021-02-11,2875937.7589099966
533,2021-02-12,2916372.4172649966
534,2021-02-16,2958453.7417649967
535,2021-02-17,2948515.151764996
536,2021-02-18,2910802.531764997
537,2021-02-19,2963080.6790549965
538,2021-02-22,3012038.2890549963
539,2021-02-23,3029436.179054997
540,2021-02-24,3114767.6590549964
541,2021-02-25,3023914.169054996
542,2021-02-26,2995934.8690549964
543,2021-03-01,3108532.1940849973
544,2021-03-02,3088859.774084997
545,2021-03-03,3135489.7940849965
546,2021-03-04,3125901.464084996
547,2021-03-05,3167867.923444996
548,2021-03-08,3240693.513444997
549,2021-03-09,3236658.3134449963
550,2021-03-10,3145434.113444996
551,2021-03-11,3026297.6934449966
552,2021-03-12,3068092.613444996
553,2021-03-15,3159569.4289649962
554,2021-03-16,3126918.885824997
555,2021-03-17,3204515.7334049963
556,2021-03-18,3134242.343334996
557,2021-03-19,3130200.623334997
558,2021-03-22,3116827.267024997
559,2021-03-23,3043855.8239049967
560,2021-03-24,3023211.473904996
561,2021-03-25,3079108.3839049963
562,2021-03-26,3122469.043904996
563,2021-03-29,3110322.083904997
564,2021-03-30,3144810.7639049967
565,2021-03-31,3119817.7339049964
566,2021-04-01,3160519.237784996
567,2021-04-05,3203602.597784997
568,2021-04-06,3194930.647784996
569,2021-04-07,3206194.457784997
570,2021-04-08,3215122.8377849967
571,2021-04-09,3260727.8877849965
572,2021-04-12,3271795.0177849964
573,2021-04-13,3231514.307784996
574,2021-04-14,3250650.987784996
575,2021-04-15,3240529.5459049963
576,2021-04-16,3229757.3259049966
577,2021-04-19,3229224.3959049964
578,2021-04-20,3159129.7059049965
579,2021-04-21,3217393.385904996
580,2021-04-22,3199302.9059049967
581,2021-04-23,3242001.855904997
582,2021-04-26,3259159.466664997
